date,thr,y_true,y_true_high,proba_high,pred_high_0p5,train_pos_rate,target,high_q,class_weight
2026-01-07,0.03216601122417356,0.0111831960821857,0,0.014198920238686474,0,0.052795031055900624,target_absret_next7d,0.95,None
2026-01-08,0.03216445332110903,0.0127772212274135,0,0.02037978428416097,0,0.05263157894736842,target_absret_next7d,0.95,None
2026-01-09,0.03216289541804449,0.0120806439438237,0,0.02352020734426352,0,0.05246913580246913,target_absret_next7d,0.95,None
2026-01-10,0.03216133751497996,0.0125030832921269,0,0.014983125914617455,0,0.052307692307692305,target_absret_next7d,0.95,None
2026-01-11,0.03215977961191543,0.0140180818187131,0,0.009772076119684253,0,0.05214723926380368,target_absret_next7d,0.95,None
2026-01-12,0.03215822170885089,0.0151066676994123,0,0.009203053793507972,0,0.05198776758409786,target_absret_next7d,0.95,None
2026-01-13,0.032156663805786356,0.015452030647298,0,0.006681958373479615,0,0.051829268292682924,target_absret_next7d,0.95,None
2026-01-14,0.03215510590272182,0.0148262075522291,0,0.00584833464805244,0,0.05167173252279635,target_absret_next7d,0.95,None
2026-01-15,0.032153547999657285,0.0129619818422605,0,0.010253462792853822,0,0.051515151515151514,target_absret_next7d,0.95,None
2026-01-16,0.03215199009659275,0.0130047909231415,0,0.01613157675420749,0,0.0513595166163142,target_absret_next7d,0.95,None
2026-01-17,0.032150432193528214,0.0129135308133918,0,0.014886811174016499,0,0.05120481927710843,target_absret_next7d,0.95,None
2026-01-18,0.032148874290463675,0.0149338846600568,0,0.022562976530281876,0,0.05105105105105105,target_absret_next7d,0.95,None
2026-01-19,0.03214731638739914,0.0160761891195788,0,0.013334098437068162,0,0.05089820359281437,target_absret_next7d,0.95,None
2026-01-20,0.03214575848433461,0.0108558183196626,0,0.0038301373620584517,0,0.050746268656716415,target_absret_next7d,0.95,None
2026-01-21,0.03214420058127007,0.0092409674322556,0,0.008203602751326944,0,0.050595238095238096,target_absret_next7d,0.95,None
2026-01-22,0.03214264267820554,0.0166382839134559,0,0.010777444354863533,0,0.050445103857566766,target_absret_next7d,0.95,None
2026-01-23,0.032141084775141,0.0172725009854361,0,0.029952638294529394,0,0.05029585798816568,target_absret_next7d,0.95,None
2026-01-24,0.03213952687207647,0.0264145252076038,0,0.014709470738054698,0,0.05014749262536873,target_absret_next7d,0.95,None
2026-01-25,0.032137968969011936,0.0253821254575486,0,0.011572952416700548,0,0.05,target_absret_next7d,0.95,None
2025-04-20,0.04005528044936374,0.016519071179051,0,0.21563706444837322,0,0.05,target_absret_next7d,0.95,balanced
2025-04-21,0.0399599463635474,0.0145484837186479,0,0.18870332126518277,0,0.06557377049180328,target_absret_next7d,0.95,balanced
2025-04-22,0.03993989352872041,0.0062835059771066,0,0.0306420494599739,0,0.06451612903225806,target_absret_next7d,0.95,balanced
2025-04-23,0.03991984069389343,0.0060224390237212,0,0.0007708905029779139,0,0.06349206349206349,target_absret_next7d,0.95,balanced
2025-04-24,0.03989978785906644,0.0090609602151654,0,0.08833906955190904,0,0.0625,target_absret_next7d,0.95,balanced
2025-04-25,0.03987973502423946,0.0085896909083289,0,0.4407712859893785,0,0.06153846153846154,target_absret_next7d,0.95,balanced
2025-04-26,0.03985968218941247,0.0100158520942394,0,0.460703145404995,0,0.06060606060606061,target_absret_next7d,0.95,balanced
2025-04-27,0.03983962935458549,0.0110243989432298,0,0.45753908575559366,0,0.05970149253731343,target_absret_next7d,0.95,balanced
2025-04-28,0.0398195765197585,0.0097755699732077,0,0.3819474010479285,0,0.058823529411764705,target_absret_next7d,0.95,balanced
2025-04-29,0.03979952368493152,0.0117833983605874,0,0.05985861196567145,0,0.057971014492753624,target_absret_next7d,0.95,balanced
2025-04-30,0.03977947085010453,0.0119629828027878,0,0.06372722506386144,0,0.05714285714285714,target_absret_next7d,0.95,balanced
2025-05-01,0.03975941801527755,0.0173964963543039,0,0.10883839970263928,0,0.056338028169014086,target_absret_next7d,0.95,balanced
2025-05-02,0.03973936518045056,0.0172272638617903,0,0.022310904350271783,0,0.05555555555555555,target_absret_next7d,0.95,balanced
2025-05-03,0.03971931234562358,0.018239213952329,0,0.5242555800391269,1,0.0547945205479452,target_absret_next7d,0.95,balanced
2025-05-04,0.03969925951079659,0.0168107539401545,0,0.196770207236862,0,0.05405405405405406,target_absret_next7d,0.95,balanced
2025-05-05,0.03967920667596961,0.0179920237619786,0,0.0847133551988042,0,0.05333333333333334,target_absret_next7d,0.95,balanced
2025-05-06,0.03965915384114262,0.0167179536820786,0,0.4428441923287944,0,0.05263157894736842,target_absret_next7d,0.95,balanced
2025-05-07,0.03963910100631564,0.0172418224373568,0,0.04434757414145206,0,0.05194805194805195,target_absret_next7d,0.95,balanced
2025-05-08,0.039619048171488654,0.0086862355952277,0,0.7081329211387218,1,0.05128205128205128,target_absret_next7d,0.95,balanced
2025-05-09,0.03959899533666167,0.0086645282900832,0,0.003118451132022202,0,0.05063291139240506,target_absret_next7d,0.95,balanced
2025-05-10,0.039578942501834684,0.0066665451261701,0,0.285199609650997,0,0.05,target_absret_next7d,0.95,balanced
2025-05-11,0.0395588896670077,0.0103618810827899,0,0.012607463939369394,0,0.06172839506172839,target_absret_next7d,0.95,balanced
2025-05-12,0.03953750401688939,0.0097709756964831,0,0.055261841721897825,0,0.06097560975609756,target_absret_next7d,0.95,balanced
2025-05-13,0.03951611836677107,0.0095970157217471,0,0.003795193461062199,0,0.060240963855421686,target_absret_next7d,0.95,balanced
2025-05-14,0.03949473271665275,0.0124922777790901,0,0.0006805349103858844,0,0.05952380952380952,target_absret_next7d,0.95,balanced
2025-05-15,0.03947334706653444,0.0148081371414276,0,0.01253258853363304,0,0.058823529411764705,target_absret_next7d,0.95,balanced
2025-05-16,0.039451961416416124,0.0201421313779458,0,0.03855474018230974,0,0.05813953488372093,target_absret_next7d,0.95,balanced
2025-05-17,0.03943057576629781,0.0202305959290711,0,0.0850228159228848,0,0.05747126436781609,target_absret_next7d,0.95,balanced
2025-05-18,0.03940919011617949,0.0172650855493141,0,0.19679115273959902,0,0.056818181818181816,target_absret_next7d,0.95,balanced
2025-05-19,0.039387804466061174,0.0165952941225607,0,0.016520533091318273,0,0.056179775280898875,target_absret_next7d,0.95,balanced
2025-05-20,0.03936641881594286,0.0156096219608629,0,0.01019205927934796,0,0.05555555555555555,target_absret_next7d,0.95,balanced
2025-05-21,0.03934503316582455,0.0134071057679351,0,0.005225878849212044,0,0.054945054945054944,target_absret_next7d,0.95,balanced
2025-05-22,0.03932364751570624,0.0136725641687756,0,0.0006394626858265266,0,0.05434782608695652,target_absret_next7d,0.95,balanced
2025-05-23,0.03930226186558792,0.010152556120487,0,0.014149327798387538,0,0.053763440860215055,target_absret_next7d,0.95,balanced
2025-05-24,0.0392808762154696,0.0104000575051606,0,0.0009823943211692008,0,0.05319148936170213,target_absret_next7d,0.95,balanced
2025-05-25,0.03925949056535129,0.0101515072129318,0,0.0500741809157956,0,0.05263157894736842,target_absret_next7d,0.95,balanced
2025-05-26,0.039238104915232976,0.0098679320901167,0,0.06827922336797235,0,0.052083333333333336,target_absret_next7d,0.95,balanced
2025-05-27,0.039216719265114657,0.0098175815491334,0,0.015719043938502052,0,0.05154639175257732,target_absret_next7d,0.95,balanced
2025-05-28,0.039195333614996344,0.0092339840622613,0,0.01820664163866569,0,0.05102040816326531,target_absret_next7d,0.95,balanced
2025-05-29,0.039173947964878025,0.0107035055533608,0,0.023582691578256397,0,0.050505050505050504,target_absret_next7d,0.95,balanced
2025-05-30,0.03915256231475971,0.0123648058726557,0,0.030830785907064534,0,0.05,target_absret_next7d,0.95,balanced
2025-05-31,0.0391311766646414,0.0132298067232376,0,0.13302040673619628,0,0.0594059405940594,target_absret_next7d,0.95,balanced
2025-06-01,0.03904162100680845,0.0120573711834312,0,0.2067750394945074,0,0.058823529411764705,target_absret_next7d,0.95,balanced
2025-06-02,0.038952065348975516,0.017764119699593,0,0.1705888223300393,0,0.05825242718446602,target_absret_next7d,0.95,balanced
2025-06-03,0.038862509691142584,0.0171467422239335,0,0.07737908498287685,0,0.057692307692307696,target_absret_next7d,0.95,balanced
2025-06-04,0.03877295403330965,0.0183032182306929,0,0.14421961718538553,0,0.05714285714285714,target_absret_next7d,0.95,balanced
2025-06-05,0.03868339837547673,0.017848783458112,0,0.4232413905383142,0,0.05660377358490566,target_absret_next7d,0.95,balanced
